SKU|Producto|Stock|PVP|Rubro
FV20-1|1 KG CAFÉ VENDING LISTA VERDE|100|44770|01 LISTA VERDE FRIKAF
FV20-2|1/2 KG CAFÉ VENDING LISTA VERDE|100|24200|01 LISTA VERDE FRIKAF
FV20-4|1/4 KG CAFÉ VENDING LISTA VERDE|100|12100|01 LISTA VERDE FRIKAF
FV21-4|1/4 KG ESPECIALIDAD PERÚ LISTA VERDE|100|16940|01 LISTA VERDE FRIKAF
FV26-1|1 KG CAFÉ ILADO SPECIALTY FKF LISTA VERDE|100|55660|01 LISTA VERDE FRIKAF
FV26-2|1/2 KG CAFÉ ILADO SPECIALTY FKF LISTA VERDE|100|29040|01 LISTA VERDE FRIKAF
FV26-4|1/4 KG CAFÉ ILADO SPECIALTY FKF LISTA VERDE|100|14520|01 LISTA VERDE FRIKAF
FV27-1|1 KG CAFÉ COLOMBIA SUPREMO LISTA VERDE|100|65340|01 LISTA VERDE FRIKAF
FV25-1|1 KG CAFÉ HONDURAS SPECIALTY FKF LISTA VERDE|100|65340|01 LISTA VERDE FRIKAF
FV25-2|1/2 KG CAFÉ HONDURAS SPECIALTY FKF LISTA VERDE|100|33880|01 LISTA VERDE FRIKAF
FV27-4|1/4 KG CAFÉ COLOMBIA SUPREMO LISTA VERDE|100|16940|01 LISTA VERDE FRIKAF
FV3-4|TOSTADO ITALIANO 1/4 KG LISTA VERDE|100|13310|01 LISTA VERDE FRIKAF
FV48-1|1 KG CAFÉ MEZCLA ESPECIAL SOLO FILTRO FKF LISTA VERDE|100|43560|01 LISTA VERDE FRIKAF
FV48-2|1/2 KG CAFÉ MEZCLA ESPECIAL SOLO FILTRO FKF LISTA VERDE|100|22990|01 LISTA VERDE FRIKAF
FV48-4|1/4 KG CAFÉ MEZCLA ESPECIAL SOLO FILTRO FKF LISTA VERDE|100|18150|01 LISTA VERDE FRIKAF
